deduplication_key,pl_row,CSV title,type,administrative_unit,content_type,data_classifications,emory_ark,emory_rights_statements,holding_repository,institution,other_identifiers,rights_statement,system_of_record_ID,visibility,conference_name,contributors,copyright_date,creator,date_created,date_digitized,date_issued,edition,extent,content_genres,local_call_number,place_of_production,primary_language,publisher,series_title,subject_geo,subject_names,subject_topics,table_of_contents,title,uniform_title,fileset_label,preservation_master_file,service_file,intermediate_file,transcript_file,extracted,pcdm_use
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 110,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000110.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000110.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000110.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 111,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000111.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000111.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000111.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 112,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000112.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000112.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000112.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 113,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000113.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000113.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000113.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 114,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000114.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000114.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000114.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 115,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000115.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000115.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000115.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 116,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000116.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000116.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000116.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 117,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000117.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000117.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000117.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 118,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000118.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000118.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000118.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 119,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000119.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000119.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000119.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 120,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000120.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000120.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000120.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 121,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000121.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000121.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000121.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 122,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000122.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000122.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000122.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 123,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000123.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000123.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000123.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 124,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000124.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000124.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000124.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 125,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000125.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000125.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000125.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 126,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000126.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000126.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000126.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 127,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000127.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000127.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000127.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 128,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000128.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000128.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000128.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 129,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000129.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000129.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000129.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 130,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000130.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000130.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000130.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 131,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000131.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000131.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000131.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 132,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000132.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000132.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000132.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 133,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000133.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000133.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000133.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 134,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000134.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000134.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000134.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 135,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000135.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000135.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000135.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 136,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000136.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000136.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000136.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 137,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000137.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000137.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000137.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 138,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000138.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000138.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000138.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 139,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000139.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000139.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000139.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 140,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000140.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000140.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000140.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 141,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000141.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000141.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000141.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 142,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000142.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000142.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000142.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 143,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000143.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000143.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000143.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 144,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000144.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000144.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000144.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 145,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000145.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000145.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000145.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 146,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000146.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000146.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000146.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 147,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000147.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000147.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000147.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 148,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000148.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000148.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000148.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 149,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000149.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000149.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000149.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 150,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000150.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000150.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000150.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 151,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000151.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000151.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000151.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 152,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000152.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000152.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000152.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 153,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000153.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000153.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000153.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 154,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000154.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000154.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000154.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 155,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000155.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000155.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000155.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 156,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000156.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000156.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000156.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 157,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000157.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000157.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000157.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 158,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000158.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000158.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000158.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 159,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000159.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000159.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000159.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 160,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000160.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000160.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000160.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 161,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000161.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000161.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000161.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 162,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000162.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000162.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000162.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 163,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000163.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000163.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000163.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 164,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000164.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000164.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000164.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 165,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000165.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000165.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000165.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 166,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000166.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000166.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000166.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 167,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000167.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000167.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000167.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 168,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000168.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000168.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000168.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 169,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000169.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000169.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000169.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 170,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000170.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000170.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000170.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 171,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000171.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000171.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000171.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 172,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000172.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000172.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000172.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 173,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000173.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000173.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000173.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 174,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000174.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000174.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000174.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 175,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000175.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000175.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000175.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 176,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000176.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000176.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000176.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 177,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000177.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000177.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000177.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 178,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000178.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000178.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000178.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 179,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000179.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000179.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000179.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 180,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000180.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000180.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000180.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 181,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000181.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000181.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000181.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 182,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000182.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000182.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000182.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 183,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000183.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000183.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000183.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 184,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000184.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000184.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000184.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 185,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000185.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000185.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000185.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 186,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000186.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000186.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000186.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 187,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000187.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000187.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000187.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 188,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000188.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000188.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000188.xml,
bcg1p,6,The campus,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 189,/Yearbooks/Emory/lsdi2/ftp/000011909908/TIFF/00000189.tif,,,/Yearbooks/Emory/lsdi2/ftp/000011909908/OCR/00000189.txt,/Yearbooks/Emory/lsdi2/ftp/000011909908/ALTO/00000189.xml,
